alsa-oss 1.0.25-1
xorg-server-utils 7.6-3
xorg-twm 1.0.7-1
xorg-utils 7.6-8
xorg-xclock 1.0.6-1
xorg-xconsole 1.0.4-2
xorg-xdm 1.1.11-3
xorg-xkb-utils 7.6-2
xorg-xkill 1.0.3-3
xterm 281-1
xxkb 1.11-4
yaourt 1.1-1
yasm 1.2.0-2
znotes 0.4.5-1
